Pedido,Município,Protocolo,Data de Cadastro,Prazo de Atendimento,Respondido,Data da Resposta,A resposta atende à informação solicitada?,Link
Informações sobre tratamento de dados pessoais,São Caetano do Sul (SP),1911779,07/04/2026,Não informado,Sim,27/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre regulamentação da Lei do Governo Digital,São Caetano do Sul (SP),1911769,07/04/2026,Não informado,Sim,27/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre portais de transparência e de dados,Diadema (SP),03203202600013859,09/04/2026,29/04/2026,Sim,24/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre política de dados abertos,Diadema (SP),03203202600013930,09/04/2026,29/04/2026,Sim,24/04/2026,Parcialmente,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre tratamento de dados pessoais,Diadema (SP),03203202600014073,09/04/2026,29/04/2026,Sim,24/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre regulamentação da Lei do Governo Digital,Diadema (SP),03203202600014154,09/04/2026,29/04/2026,Sim,24/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre portais de transparência e de dados,Mauá (SP),2026/60,09/04/2026,Não informado,Sim,10/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre política de dados abertos,Mauá (SP),2026/61,09/04/2026,Não informado,Sim,10/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre tratamento de dados pessoais,Mauá (SP),2026/62,09/04/2026,Não informado,Sim,10/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre regulamentação da Lei do Governo Digital,Mauá (SP),2026/63,09/04/2026,Não informado,Sim,10/04/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre portais de transparência e de dados,Ribeirão Pires (SP),-,14/04/2026,Não informado,Não,-,-,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre política de dados abertos,Ribeirão Pires (SP),-,14/04/2026,Não informado,Não,-,-,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre tratamento de dados pessoais,Ribeirão Pires (SP),-,14/04/2026,Não informado,Não,-,-,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre regulamentação da Lei do Governo Digital,Ribeirão Pires (SP),-,14/04/2026,Não informado,Não,-,-,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre portais de transparência e de dados,Rio Grande da Serra (SP),4/2026,14/04/2026,Não informado,Sim,15/05/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre política de dados abertos,Rio Grande da Serra (SP),5/2026,14/04/2026,Não informado,Sim,15/05/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre tratamento de dados pessoais,Rio Grande da Serra (SP),6/2026,14/04/2026,Não informado,Sim,15/05/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
Informações sobre regulamentação da Lei do Governo Digital,Rio Grande da Serra (SP),7/2026,14/04/2026,Não informado,Sim,15/05/2026,Sim,https://github.com/EdilaineSantos/TCC_UFABC_DADOS-ESPACIAIS-NO-GRANDE-ABC/tree/main/2026_TCCII_UFABC_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o/2026_TCCII_Respostas%20de%20Pedidos%20de%20Informa%C3%A7%C3%A3o
